id,name,description
ADM.GPI,Government Planning Inspectors,"Monitor the development and implementation of government plans and policies, process planning and policy proposals, and perform inspections of planning procedures."
ADM.HIN,Healthcare Inspectors,"Visit healthcare facilities to ensure proper care is given to all patients in accordance with legal requirements. Ensure that staff, processes, and equipment are compliant with operating requirements."
ADM.HMR,"Hotel, Motel, and Resort Desk Clerks","Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
ADM.HOP,Housing Policy Officers,"Research, analyze, develop, and administer housing policies. Implement these policies to improve the housing situation through measures such as building affordable housing, supporting people in buying real estate, and improving conditions in existing housing."
ADM.HRA,Human Resources Assistants,"Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons."
ADM.HUM,Humanitarian Advisors,Advise on strategies to reduce the impact of humanitarian crises at a national and/or international level. Provide professional advice and support in collaboration with different partners.
ADM.HUO,Human Rights Officers,"Investigate and handle human rights violations, as well as develop plans to reduce violations and ensure compliance with human rights legislation. Examine information and interview victims and perpetrators, and communicate with organizations involved in human rights activities. Provide administrative support for human rights policies."
ADM.IMP,Immigration Policy Officers,"Develop strategies for the integration of refugees and asylum seekers, and policies for the transit of people from one nation to another. Work to improve international cooperation and communication on immigration issues, as well as improve the efficiency of immigration and integration procedures. Provide administrative support for immigration policies."
ADM.INT,Interviewers,"Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing forms. May sort, classify, and file forms."
ADM.IPO,Industry Policy Officers,"Provide administrative support on contemporary human resources management issues, employment and industrial law, and workplace and local government reform. Research, analyze, develop, and implement industry policy."
ADM.IPP,Insurance Policy Processing Clerks,"Process applications for, changes to, reinstatement of, and cancellation of insurance policies. Duties include reviewing insurance applications to ensure that all questions have been answered, compiling data on insurance policy changes, changing policy records to conform to insured parties' specifications, compiling data on lapsed insurance policies to determine automatic reinstatement according to company policies, canceling insurance policies as requested by agents, and verifying the accuracy of insurance company records."
ADM.IRO,International Relations Officers,"Facilitate communication and cooperation between international public organizations and governments, and develop collaboration strategies, promoting a collaborative relationship beneficial to both parties."
ADM.KEY,Data Entry Keyers,"Operate data entry devices, such as keyboards or photo composing perforators. Duties may include verifying data and preparing materials for printing."
ADM.LBA,"Library Assistants, Clerical","Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides, and microfilm. Locate library materials for loan and replace materials in shelving areas, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials."
ADM.LGP,Legal Policy Officers,"Research, analyze, develop, and administer policies related to the legal sector and implement these policies to improve existing regulations in the sector. Collaborate with partners, external organizations, or other stakeholders and provide them with regular updates."
ADM.LIC,License Clerks,"Issue licenses or permits to qualified applicants. Obtain necessary information, record data, advise applicants on requirements, collect fees, and issue licenses. May conduct oral, written, visual, or performance testing."
ADM.LMP,Labor Market Policy Officers,"Research, analyze, develop, and administer labor market policies. Implement policies such as financial or practical measures to improve job search mechanisms, promote job training, provide incentives to start-ups, and offer income support. Collaborate with partners, external organizations, or other stakeholders and provide them with regular updates."
ADM.LNI,Loan Interviewers and Clerks,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to the appraisal department. Review loan papers to ensure completeness, and complete transactions between the loan establishment, borrowers, and sellers upon approval of the loan."
ADM.MAR,Marking Clerks,"Print and attach price tickets to articles of merchandise using one or several methods, such as marking prices on tickets by hand or using a ticket-printing machine."
ADM.MDS,Medical Secretaries and Administrative Assistants,"Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence."
ADM.MFOP,Foreign Policy Managers,"Interpret the foreign policy of their homeland to government officials of their host country while fostering friendly political and commercial relationships. Develop periodic reports regarding political activities, market conditions, and public opinion."
ADM.MGR,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services."
ADM.MGRA,Grants Management Specialists,"Manage overall grant efforts, document payments and expenditures, optimize the grant administration process, and maintain records. Ensure compliance with grant regulations and review grant proposals. Enhance funding models by identifying new sources of funding, developing sustainable and effective grants programs, and maintaining stakeholder relations."
ADM.MMO,Mail Clerks and Mail Machine Operators,"Prepare incoming and outgoing mail for distribution. Time-stamp, open, read, sort, and route incoming mail; and address, seal, stamp, fold, stuff, and affix postage to outgoing mail or packages. Duties may also include keeping necessary records and completing forms."
ADM.MPOL,Policy Managers,"Manage the development of policy programs and ensure that the strategic objectives of the organization are met. Oversee the production of policy positions and the organization's campaign and advocacy work in fields such as environment, ethics, quality, transparency, and sustainability."
ADM.MPST,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and supportive services of a post office, or coordinate activities of workers engaged in postal and related work in an assigned post office."
ADM.MTR,"Meter Readers, Utilities","Read meters and record consumption of electricity, gas, water, or steam."
ADM.MTRP,Tourism Policy Managers,"Develop and implement policies to improve tourism in their region. Develop marketing plans to promote the region and monitor the operations of the tourism industry. Research how tourism policies could be improved and implemented, and investigate the benefits of the tourism industry to the government."
ADM.MUN,Municipal Clerks,Draft agendas and bylaws for town or city councils; record minutes of council meetings; answer official correspondence; keep fiscal records and accounts; and prepare reports on civic needs.
ADM.NAC,New Accounts Clerks,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.
ADM.NOT,Notaries,"Ensure the authenticity and legitimacy of official documents such as declarations, certificates, housing contracts, deeds, and purchases. Screen the signers of important documents for their true identity, their willingness to sign without duress or intimidation, and their awareness of the contents of the document or transaction."
ADM.OMO,Office Machine Operators,"Operate one or more of a variety of office machines, such as photocopying, photographic, and duplicating machines, or other office machines."
ADM.ORD,Order Clerks,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receive orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints."
ADM.PAD,Policy Advisors,"Provide analysis and advice to senior officials regarding resource allocation, policy and regulatory reform, financial management, legislative, and business improvement issues."
ADM.PAO,Political Affairs Officers,"Analyze developments in foreign politics and other policy matters, monitor conflicts, and consult on mediation measures, as well as other development strategies. Write reports to ensure communication with governmental bodies, and develop policies and implementation methods."
ADM.PAY,Payroll and Timekeeping Clerks,"Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks."
ADM.PCA,Postal Service Mail Carriers,Sort and deliver mail. Deliver mail on established routes by vehicle or on foot.
ADM.PHO,Telephone Operators,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls."
ADM.PHP,Public Health Policy Officers,Develop and implement strategies for the improvement of communities' healthcare policies. Advise governments on policy changes and identify problems in current healthcare policies. Provide administrative support for public health policies.
ADM.PPE,"Production, Planning, and Expediting Clerks","Coordinate and expedite the flow of work and materials within or between departments of an establishment according to the production schedule. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; and compiling reports on progress of work, inventory levels, costs, and production problems."
ADM.PRC,Procurement Clerks,Compile information and records to draw up purchase orders for the procurement of materials and services.
ADM.PRF,Proofreaders and Copy Markers,"Read transcripts or proof type setups to detect and mark for correction any grammatical, typographical, or compositional errors. Includes proofreaders of Braille."
ADM.PSC,Postal Service Clerks,"Perform any combination of tasks in a post office, such as receiving letters and parcels; selling postage and revenue stamps, postal cards, and stamped envelopes; filling out and selling money orders; placing mail in pigeonholes of the mail rack or in bags; and examining mail for correct postage."
ADM.PSP,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Prepare incoming and outgoing mail for distribution. Examine, sort, and route mail. Load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. Keep records of shipments, pouches, and sacks, and perform other duties related to mail handling within the postal service."
ADM.PTR,Patient Representatives,"Assist patients in obtaining services, understanding policies, and making health care decisions."
ADM.PUB,Desktop Publishers,Format typewritten text and graphic elements using computer software to produce publication-ready material.
ADM.RCP,Recreation Policy Officers,"Research, analyze, develop, and administer policies in the sports and recreation sector, and implement these policies to improve the sport and recreation system and the health of the population. Work closely with partners, external organizations, and other stakeholders."
ADM.RDP,Regional Development Policy Officers,"Research, analyze, develop, and administer regional development policies. Implement policies to reduce regional disparities by fostering economic activities in a region and supporting structural changes such as multi-level governance, rural development, and improvement of infrastructure."
ADM.RIC,Receptionists and Information Clerks,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at the establishment and the location of departments, offices, and employees within the organization."
ADM.RTT,Reservation and Transportation Ticket Agents and Travel Clerks,"Make and confirm reservations for transportation or lodging, or sell transportation tickets. May check baggage and direct passengers to designated concourse, pier, or track; deliver tickets and contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information."
ADM.SAA,Secretaries and Administrative Assistants,"Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers."
ADM.SFI,"Order Fillers, Wholesale and Retail Sales","Fill customers' mail and telephone orders from stored merchandise in accordance with specifications on sales slips or order forms. Duties include computing prices of items, completing order receipts, keeping records of outgoing orders, and requisitioning additional materials, supplies, and equipment."
ADM.SPC,Sports Program Coordinators,"Coordinate sports and recreation activities and policy implementation. Develop, promote, and implement new programs. Ensure the maintenance of sports and recreation facilities."
ADM.SRT,"Shipping, Receiving, and Inventory Clerks",Verify and maintain records on incoming and outgoing shipments involving inventory. Duties include verifying and recording incoming merchandise or materials and arranging for the transportation of products. May prepare items for shipment.
ADM.SSP,Social Services Policy Officers,"Research, analyze, and develop social services policies and implement them. Work in the administration of social services and provide organizations and other stakeholders with regular updates."
ADM.STK,"Stock Clerks, Sales Floor","Receive, store, and issue sales floor merchandise. Stock shelves, racks, cases, bins, and tables with merchandise and arrange merchandise displays to attract customers. May periodically take physical counts of stock or check and mark merchandise."
ADM.STM,Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts."
ADM.SWO,Switchboard Operators,"Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages."
ADM.SWY,"Stockroom, Warehouse, or Storage Yard Stock Clerks","Receive, store, and issue materials, equipment, and other items from stockrooms, warehouses, or storage yards. Keep records and compile stock reports."
ADM.TLL,Tellers,Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.
ADM.TPO,Transport Policy Officers,"Research, analyze, develop, and administer transport initiatives and provide an effective travel planning service. Collaborate with other organizations to encourage the uptake of travel plans through the development control process."
ADM.TRD,Trade Development Officers,"Develop and implement trade policies both internally and in international import and export relations. Analyze domestic and foreign markets to promote and establish business operations, and ensure trade proceedings are compliant with legislation and that businesses are protected from distortions."
ADM.TYP,Word Processors and Typists,"Use word processors, computers, or typewriters to type letters, reports, forms, or other material from rough drafts, corrected copies, or voice recordings. May perform other clerical duties as assigned."
ADM.WMC,Measurement Recorders,"Weigh, measure, and check materials, supplies, and equipment for the purpose of keeping relevant records. Duties are primarily clerical in nature. Includes workers who collect and keep records of samples of products or materials."
ADM.WST,Waste Management Officers,"Prepare, plan, and implement safe waste disposal strategies. Manage budgets and ensure that all waste disposal activities in their jurisdiction comply with environmental laws and regulations."
AEM.ACT,Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic roles by speech, gesture, and body movement to entertain or inform audiences. May dance and sing."
AEM.ARD,Art Directors,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design."
AEM.ART,Fine Artists,Create original artwork using a wide variety of media and techniques.
AEM.ATH,Athletes and Sports Competitors,Compete in athletic events.
AEM.AUT,"Poets, Lyricists, and Creative Writers","Create original written works, such as scripts, essays, prose, poetry, or song lyrics, for publication or performance."
AEM.AVT,Audio and Video Technicians,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events."
AEM.BNA,Broadcast News Analysts,"Analyze, interpret, and broadcast news received from various sources."
AEM.BPB,Book Publishers,"Oversee the selection, production, marketing, and distribution processes involved with new publications. Attract talented authors and publish books that achieve commercial success."
AEM.BRT,Broadcast Technicians,"Set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs. Control and adjust incoming and outgoing broadcast signals to regulate sound volume, signal strength, and signal clarity. Operate satellite, microwave, or other transmitter equipment to broadcast radio or television programs."
AEM.CAO,"Camera Operators, Television, Video, and Film","Operate television, video, or film cameras to record images or scenes for television, video, or film productions."
AEM.CCH,Coaches and Scouts,Instruct or coach groups or individuals in the fundamentals of sports for the primary purpose of competition. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching certifications should be reported in the appropriate teaching category.
AEM.CHR,Choreographers,Create new dance routines. Rehearse performances of routines. May direct and stage presentations.
AEM.CRF,Craft Artists,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
AEM.CRT,Critics,"Write critical reviews of literary, musical, or artistic works and performances for broadcast and publication. Form critical opinions based on personal knowledge, judgment, and experience."
AEM.CSA,Casting Agents,"Audition and interview performers to select the most appropriate talent for parts in stage, television, radio, or motion picture productions."
AEM.CWR,Writers and Authors,"Originate and prepare written material, such as scripts, stories, advertisements, and other materials."
AEM.DNC,Dancers,"Perform dances. May perform on stage, for broadcast, or for video recording."
AEM.EDT,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication."
AEM.ESP,E-sports Players,"Play video games professionally, competing in tournaments and in front of spectators."
AEM.FED,Fashion Editors,"Create, develop, and present content for the fashion department of a magazine, website, newspaper, or television program."
AEM.FLM,Film Location Specialists,"Procure locations for filming outside of the studio. Negotiate site use, maintain the site during shooting, and coordinate the safety and security of the film crew on-site."
AEM.FLO,Floral Designers,"Design, cut, and arrange live, dried, or artificial flowers and foliage."
AEM.FSH,Fashion Designers,Design clothing and accessories. Create original designs or adapt fashion trends.
AEM.FVE,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images."
AEM.GRC,TV Graphics Coordinators,Coordinate graphics on live television and decide which content should be displayed on-air. May edit grammar or spelling in displayed graphic elements or evaluate factual correctness.
AEM.IND,Interior Designers,"Plan, design, and furnish the interior spaces of rooms or buildings. Design interior environments or create physical layouts that are practical, aesthetic, and conducive to the intended purposes. May specialize in a particular field, style, or phase of interior design."
AEM.INT,Interpreters and Translators,"Interpret oral or sign language, or translate written text from one language into another."
AEM.LEX,Lexicographers,"Write, compile, and edit dictionaries for both print and online publication. Determine which new words are in common use and should be included in the glossary."
AEM.LGT,Lighting Technicians,"Set up, maintain, and dismantle light fixtures, lighting control devices, and associated lighting electrical and rigging equipment used for photography, television, film, video, and live productions. May focus or operate light fixtures, or attach color filters or other lighting accessories."
AEM.MGR,Entertainment and Recreation Managers,"Plan, direct, or coordinate entertainment and recreational activities and operations of recreational facilities, including cruise ships and parks."
AEM.MMA,Special Effects Artists and Animators,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products such as computer games, movies, music videos, and commercials."
AEM.MPM,Media Production Managers,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs."
AEM.MRD,Merchandise Displayers and Window Trimmers,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions."
AEM.MUC,Music Composers and Arrangers,Write and transcribe musical scores.
AEM.MUD,Music Directors,"Direct and conduct instrumental or vocal performances by musical groups, such as orchestras or choirs."
AEM.MUI,"Musicians, Instrumental","Play one or more musical instruments in recitals, in accompaniment, or as members of an orchestra, band, or other musical group."
AEM.PAA,Public Address System and Other Announcers,"Make announcements over public address systems at sporting or other public events. May act as master of ceremonies or disc jockeys at weddings, parties, clubs, or other gathering places."
AEM.PAD,Performing Arts Directors,"Interpret scripts, conduct rehearsals, and direct activities of cast and technical crew for stage, motion pictures, television, or radio programs."
AEM.PHO,Photographers,"Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists."
AEM.PRD,Producers,"Plan and coordinate various aspects of radio, television, stage, or motion picture production, such as selecting scripts, coordinating writing, directing and editing, and arranging financing."
AEM.PRM,Prop Coordinators,"Purchase, acquire, manufacture, place, and oversee any props needed for film, television, or theatrical productions."
AEM.PRS,Public Relations Specialists,"Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communication media. May specialize in using social media."
AEM.RAD,Radio Operators,Receive and transmit communications using radiotelephone equipment in accordance with government regulations. May repair equipment.
AEM.REP,Reporters and Journalists,"Collect and analyze facts about newsworthy events by interview, investigation, or observation. Report and write stories for newspapers, news magazines, radio, or television."
AEM.RTA,Broadcast Announcers,"Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and cue music, announce artist or title of performance, identify station, or interview guests."
AEM.SBT,Subtitlers,"Create subtitles for hearing-impaired viewers or for movies or television programs in a language different from the one heard in the audiovisual production. Ensure that the captions and subtitles are synchronized with the sound, images, and dialogue of the audiovisual work."
AEM.SED,Set and Exhibit Designers,"Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles."
AEM.SET,Sound Engineering Specialists,"Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions."
AEM.SMA,Stop Motion Animators,Create animations by physically manipulating puppets or clay models in small increments between individually photographed frames so that they appear to exhibit independent motion when the series of frames is played back.
AEM.SNG,Singers,"Sing songs on stage, radio, television, or in motion pictures."
AEM.TWR,Technical Writers,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist with layout work."
AEM.UMP,"Umpires, Referees, and Other Sports Officials","Officiate at competitive athletic or sporting events. Detect infractions of rules and decide penalties according to established regulations. Includes all sports officials, referees, and competition judges."
CNS.ASM,Asset Management Consultants,"Provide advice and expertise to organizations for the optimal and sustainable management of their assets, asset systems, and associated performance, risks, and expenditures."
CNS.AUD,Auditing Consultants,Examine and analyze accounting records to determine the financial status of an organization and provide strategies and management advice to achieve optimal organizational productivity.
CNS.BRM,Brand and Marketing Consultants,"Provide advice and guidance on market research and product design activities. Identify new marketing opportunities, project sales forecasts, and develop product budgets."
CNS.CHG,Change Consultants,"Ensure the successful delivery and end-user adoption of new programs, systems, or processes across the organization through communication, training, and business engagement."
CNS.CYB,Cyber Security Consultants,"Ensure online systems and networks are sufficiently protected from threats. Assist with strategic planning, assessment, and operational execution of all cybersecurity strategies, policies, and procedures. Establish and maintain a comprehensive information security program to ensure that all information assets are adequately protected against current and future internal and external threats."
CNS.DAD,Debt Advisory Consultants,"Provide clients with consulting services related to debt management advice and solutions. Help clients achieve optimal capital performance and meet their strategic corporate objectives. May provide advice on capital management planning, funding options, acquisition funding and strategy, credit rating evaluation and advisory, and benchmarking."
CNS.DAT,Data Consultants,"Identify, prioritize, and undertake a range of research and analytical activities, leveraging all available data assets to help solve complex business problems through the development and application of advanced statistical modeling techniques."
CNS.DIG,Digital Consultants,"Provide clients with consulting services on digital content management, development of digital marketing strategies, analytics reporting, digital communications distribution, and lead generation. May also advise on search engine optimization (SEO), website design, and social media strategy and development."
CNS.ENG,Engineering Consultants,"Provide engineering advice and technical solutions on different projects, which involves defining client needs, developing project plans, coordinating teams, and preparing documentation. May also involve liaising with other professionals involved, such as architects, local authorities, and manufacturers."
CNS.ENT,Enterprise Architecture Consultants,"Serve as advisors to senior business management on technology, software, and information integration strategies. Assist in defining, implementing, and executing the processes for the definition, maintenance, and management of the enterprise architecture."
CNS.EVI,Vocational Consultants,"Assist unemployed individuals in finding jobs or vocational training opportunities according to their educational or professional background and experience. Help job-seekers write CVs and cover letters, prepare for job interviews, and indicate where to search for new job or training opportunities."
CNS.GIT,Green ICT Consultants,Advise organizations on their green information and communications technology (ICT) strategies and their implementation to enable them to achieve ICT environmental objectives.
CNS.HLT,Healthcare Consultants,"Advise healthcare organizations on the development of plans to improve patient care and safety. Analyze healthcare policies, identify issues, and aid in the development of improvement strategies."
CNS.ICC,Intercultural Communication Consultants,"Advise on social interaction between parties of different cultures, or advise organizations on international interactions to optimize their performance, and facilitate cooperation and positive interaction with organizations and individuals from other cultures."
CNS.ICT,ICT Consultants,"Advise on how to optimize the use of existing tools and systems, make recommendations for the development and implementation of business projects or technological solutions, and contribute to project definitions. Raise awareness of IT innovations and their potential value to a business, and participate in the assessment and selection of solutions."
CNS.INF,Infrastructure Consultants,"Advise clients on where to spend, what to spend, and how to make future projects more productive. Undertake strategic, financial, and commercial analysis in a wide range of sectors, including infrastructure projects such as highways, rail, transport, ports, and tunnels."
